Title,Year,Directors,Rating,WatchedDate,Review
Een Andalusische hond,1929,Luis Buñuel,2.0,2014-03-28,"Progressive and courageous, but also pretentious and boring. I can imagine its influence and possibly shocking character at the time, but nonetheless it fails its primary purpose to captivate me."
The Tree of Life,2011,Terrence Malick,1.0,2014-12-12,"At first I enjoyed the marvellous visuals, both the rendered and shot images. The soundtrack is very beautiful and even the poetry had its moments. This, however, only amused me for about ninety minutes. After that, its fragmented and boring plot, randomly nonsensical poetry and lack of aim/tension made me wish for the film to end for an hour long. I think Malick's poetry is not for me."
The Wrestler,2008,Darren Aronofsky,5.0,2025-07-28,"More than being just the story of a wrestler facing retirement, this is about becoming old and facing the choices you made in life. Even though the film has a few easy sentiments that make it more accessible, they don't feel cheap, they actually touched me. Rourke acts very well, and is perfectly cut for the role.  Life's a bitch, and then you die, so why not in the glamerous world you understand."
Love in the Afternoon,1972,Éric Rohmer,4.0,2025-02-05,"Starring Chloe, a respectable, overtly manipulative femme fatale, and Frédéric, a starry-eyed, married bourgeois who is targeted by Chloe's seductive powers. His decency protects him initially, but eventually the love for his wife is put to the test. Surprisingly and beautifully, it triumphs. Leave it to Rohmer to depict interesting and real human beings, their subtle behavioral characteristics and complex stories."
Adam,2009,Max Mayer,1.0,2015-01-13,"It's okay pastime, but sadly overly enumerative when it comes to demonstrating the life of an Asperger. The enacted symptoms are typical and prevalent, but feel copy/pasted, as if all of them absolutely must be shown. Make all of them very severe and Adam becomes a living schoolbook definition. The attempt to pay attention to autism is appreciated, but it's too linear and overdone."
Lars and the Real Girl,2007,Craig Gillespie,1.0,2014-09-09,"A bit effusive, but then again it is an accessible fun film intended for the whole family. There's some charm to it all, but I wouldn't consider it special in any way."
Cube,1997,Vincenzo Natali,1.0,2019-01-24,"The acting is bad, the characters are even worse and it is full of tricks and cliches. The concept is interesting though, and it has some fun mathematical details."
Claire's Knee,1970,Éric Rohmer,4.0,2014-03-02,"This film is about playing games of seduction, covered up with theories that speak of idealistic, slightly platonic love. The young Laura seems well aware of this internal struggle, while one might doubt if Jerome does. He seems blinded and insincere at times, yet heartfelt and true at others. Again, Rohmer leaves you with genuine questions, not with simple closure. And did I mention the beautiful Swedish scenery?"
Herfstsonate,1978,Ingmar Bergman,5.0,2014-02-27,"Once again Bergman explores family relationships with a big zoomlevel on the psyches involved. Realistic acting, truthful characters and emotionally complex situations result into this masterpiece of cinema. This film, being very intense, surprises you with a relatively sober ending that actually suits it perfectly."
Antichrist,2009,Lars von Trier,2.0,2019-06-14,"The film does not aim for complete experimentalism, yet toys around recklessly with vague symbols and mostly nonsensical and redundantly sexual mysticism, that was interesting at times but mostly boring and unsuccesful. I did enjoy the style of filming and most of the acting, but it didn't exactly save the film as a whole."
Late Spring,1949,Yasujirô Ozu,3.0,2016-07-02,"At first it was a bit boring to me, and I struggled with the inexplicable permanent smile on Noriko's face. After some time I got used to this Asian style of emotions though and feel like I've learned something about Japanese culture. The photography in the film is amazing. It's incredible how many parallell lines can be found in just about every shot: it's wonderfully symmetrical. This is clean, real cinema."
Spring Breakers,2012,Harmony Korine,4.0,2025-01-06,"On the surface it seems to be a mainstream film with hot partying people at Spring Break, a ridiculously funny gangster James Franco, guns and sex. This is just a disguise though, because it's really a full-blown bizarre cult film, carrying an existentialist question: 'how do I live a satisfying life?'. Wrap all this up in an uncanny dreamy atmosphere -both visually and musically- and you have an incredible movie."
Europa Report,2013,Sebastián Cordero,2.0,2014-02-20,"You can tell a lot of effort has been put into making this film, which explains its authenticity. Sadly though I didn't enjoy much of this style, and often I was a bit bored or didn't think the acting is very convincing. Sometimes, however, the acting is very convincing and the visuals can be really stunning. On the whole, the film was okay, but not much more than that."
Time of the Wolf,2003,Michael Haneke,4.0,2025-02-06,"A survival movie on the surface, but a psychological experiment at the core. In an interesting way it explores human behaviour in an apocalyptic setting, and does so quite realistically. This being my first Haneke, I was especially pleased with the images, which vary from dark, foggy and gray to light and neutral, always carrying some serenity over them, regardless of the depressing content they depict. I liked it."
Is the Man Who Is Tall Happy?,2013,Michel Gondry,3.0,2014-02-08,"Not knowing Chomsky well, this was a nice introduction to his views and to him as a person. He strikes me as an authentic and respectful thinker, not just the usual academic void wrapped in a person. The animations were okay, often adjusting well to the discussion. Parts of the conversation are a bit repetitive, but this causes the tough material to become more accessible. Gondry's playful style adds to this as well."
La collectionneuse,1967,Éric Rohmer,4.0,2024-12-03,"The mechanics of the sophisticated cat-and-mouse game between two manipulators are revealed most beautifully in this film. Haydée uses her charms and seductive skills, while Adrien devises his plans rationally. Once again Rohmer knows how to fill a simple sequence of plain events with a fundamental dynamic between human beings, resulting in this complex and real piece of cinema, that actually shows you life."
Short Term 12,2013,Destin Daniel Cretton,2.0,2015-01-13,"With a remarkable balance between accessibility and veracity, this film seeks emotional depth while also keeping things hopeful and light. The comedy is fun and lighthearted - even a bit childish, and forms a big part of the authentic style of the film. However, a few times I thought the comedy impairs the plausibility. I enjoyed this film, and conclude by giving special credits to the actors of Marcus and Grace."
The Holy Mountain,1973,Alejandro Jodorowsky,4.0,2022-08-02,"At first I didn't take the film too seriously, but I ended up enjoying more of it than just the weirdly dressed toads, fecal inhalation and limbless people. The film has a wonderfully colorful setting -by itself a reason to watch the film- which accompanies the bizarre, authentic humor. Some stuff is pretty gross, but it's not cheap entertainment. In a weird way the film seems pretentious, but is actually sincere."
Sans Soleil,1983,Chris Marker,4.0,2024-12-04,"This film gives you a subtly experimental, cultural trip, disguised as a -actually informative- documentary with a philosophical, poetic voice over. It feels intimate, almost personal, and there are moments I emphathized, yet there was always an odd, alienating and slightly surreal feel present. Remarkably, this film doesn't seem to aim for anything, though it eventually seems to denote the painful essence of being."
Chronos,1985,Ron Fricke,3.0,2014-01-24,
Sherlock Jr.,1924,Buster Keaton,4.0,2025-08-07,"This certainly is a surprisingly progressive and authentically funny movie, which hardly feels dated. It's full of ingenious and resourceful tricks. Particularly notable is obviously Keaton's long dream in the cinema in which one funny situation follows the other, each different from the last in style. It's true craftmanship. On top of it all the movie is produced charmingly, including pleasantly accompanying music."
My Night at Maud's,1969,Éric Rohmer,4.0,2025-01-22,"The Christian Jean-Louis struggles in a world that seems unfathomably determined by fate and full of temptation. Free-spirited Maud challenges his mental strength by tempting him with the most primitive weapon she possesses. This film is full of interesting philosophical conversations - which do sometimes carry on a bit too long and thorough - and truthfully depicted, ambiguous characters, enacted plain and real."
Up,2009,"Pete Docter,Bob Peterson",3.0,2020-06-30,"Shown to us is the dramatic nature of life through the eyes of Mr. Fredericksen, and by contrast the infantile and eupeptic experience of Russell. The animation is fantastic: not only is the rendering incredible, but the degree of detail in which for example facial expressions are done really touched me in a way Disney hasn't for a long time. I enjoyed this movie, and wish I could've seen it as a child."
A Prophet,2009,Jacques Audiard,3.0,2019-01-24,"Malik, who keeps up an appearance of being pushed around and soft, is actually the subtle master of dialogue and manipulation, arranging deals with all of the opposing groups. The way this is shown in the film strikes me as realistic and innovative. It is a bit long though and might be a bit too 'prisony' for me on the whole, that is it doesn't entirely escape the cliches of the genre. Certainly a good film though."
Le beau Serge,1958,Claude Chabrol,4.0,2019-10-17,"The quiet village life that Jacques expects to return to turns out to have evolved into a dark, bestial society. Appearances fool him at first, but soon his trust is put even more to the test. The poor village life has turned his old friend Serge, among others, into an envious and jealous human being. This film shows the dark side of humanity that is governed by our most primal emotions, disguised in complexity."
Prisoners,2013,Denis Villeneuve,1.0,2019-01-24,"It is smoothly produced and easy to watch, which makes it an appealing way to kill time, but I'm afraid it's not that special. It's full of Hollywood cliches and plays with the mind in a way we've seen a million times before. Some writing is actually done pretty well, including clever backreferences and perhaps slight originality, but ultimately I feel betrayed, as if I've watched yet another American thriller movie."
Sucker Punch,2011,Zack Snyder,2.0,2021-06-18,"I usually don't watch action films with a flashy character, but was persuaded by a friend to watch this one anyway. And you know, if you close your eyes to some cliche acting and directing this movie actually has an interesting, authentic style. Also, the way the movie ends has some nice ring to it, even though the message is a bit over the top. Accompanied by a nice soundtrack, I had a quite good time watching this."
The Truman Show,1998,Peter Weir,3.0,2015-01-13,"At first, it all seems like a nicely done TV show, but slowly, the mystery is unraveled and ethical questions arise. It's nice how Christoph defends his opinion by stating to have put Truman inside a safer world than any of us, and how many people seem to agree. Also, I like the details through which Truman finds out about his actual purpose in life. This movie certainly is special, I really enjoyed it."
Als in een donkere spiegel,1961,Ingmar Bergman,4.0,2014-01-24,"A painfully realistic film showing the double faced nature of man, shown mostly through the family dynamics in this film. And then I haven't mentioned the main subject in the film, which obviously is poor Karin and her mental illness. She acts very well, and I think the illness is displayed truthfully in this film. To top it all off there's the beautiful location and photography. I love this film!"
La dolce vita,1960,Federico Fellini,4.0,2020-06-30,"You can clearly feel Fellini's film making mastery throughout the entire film: great shots, interesting dialogue, an authentic soundtrack and an adventure relying on nothing cheap and easy. I did not enjoy the ending though, which is obiously a big shame. I think it takes things too far. The explicit, aggressive turn Marcello felt exaggerated and stylistically inconsistent to me, too shocking for a film this subtle."
Little Fugitive,1953,"Morris Engel,Ray Ashley,Ruth Orkin",5.0,2014-01-24,"This movie makes you experience the adventurous life of a child again. It is charming, authentic and fun. The visual style is stunning in its own, independent way, and Joey is just a lovely kid. I love this movie, it's great."
Double Indemnity,1944,Billy Wilder,4.0,2019-01-24,"Not too much of a film noir fan, I feared a typical plot, with cliche characters wearing rain coats and hats, or walking on high heels and smoking a cigarette. I was right about those genre characteristics, but wrong about them being tiresome. The plot is very well thought through and not completely unambiguous. The characters are very well portrayed and the suspense is entertaining. I'm suprised by the quality!"
The Bakery Girl of Monceau,1963,Éric Rohmer,3.0,2022-08-21,"Dreams do come true at times, and sometimes stories don't end too well for everyone. This tale is raw and real, it hurts to see the bestial truth of the mechanics of love, but it makes perfect sense. The ending is a bit rushed, which I both like and dislike. It's a very nice short either way."
Suzanne's Career,1963,Éric Rohmer,4.0,2024-12-03,"It's real, insightful and complete. The main characters are interesting and realistic, and their dynamic is complex and beautiful. The ultimate moral teaching of the film tops it all off. This is a style that I can endure for hours!"
Amer,2009,"Hélène Cattet,Bruno Forzani",4.0,2021-08-19,"Fluctuating between abstract eroticism and surreal, paranoid mysticism, this film certainly is weird. You seem to be experiencing life through the eyes of Ana, who has a ruptured sense of reality. Her extremely perceptive senses are brilliantly represented by the intense lighting and 'windy', erotic sounds. I'd say the film has a very authentic style overall, with a high zoom level and lots of detail. I loved it!"
Rabbits,2002,David Lynch,3.0,2013-12-05,
Jules and Jim,1962,François Truffaut,4.0,2013-12-04,"Beautiful movie about friendship and love. It has a slightly bizarre touch, but stays natural and clean in style. Even though I sometimes had difficulty adjusting my expectations between realism and poetry, the film did a marvellous job. Jules, Jim and Catherine are very interesting characters, especially some dialogues are particularly enthralling."
The Animatrix,2003,"Peter Chung,Andy Jones,Yoshiaki Kawajiri,Takeshi Koike,Mahiro Maeda,Kôji Morimoto,Shinichiro Watanabe",2.0,2013-11-28,
The Invention of Lying,2009,"Ricky Gervais,Matthew Robinson",1.0,2013-11-23,"I like how some scenarios work out, especially the religious aspect and the egomaniacal, manipulative misuse of his ability to lie. Ultimately however, it is wrapped in a cliche Hollywood formula, which ruins the movie for me. There's the girl, the happy ending you can see coming from miles ahead and not to forget the typical feel-good, smooth production. I had some fun, but that's it."
Waterschapsheuvel,1978,"Martin Rosen,John Hubley",4.0,2019-01-24,"A magnificent, primal adventure confronting us with the most basic natural phenomena in life: freedom, love and friendship, death. Accessible to children as well - partly because of the obvious distinction between good and bad - though a bit cruel, but that's also honest and educational, since life is like that. Furthermore there's the beautiful style in both drawing and music, making this film an all-round success."
Network,1976,Sidney Lumet,2.0,2014-01-24,"Even though I enjoyed the style and theme, I found the film exaggerating in both plot - the sudden madness of Beale - and acting - Diane's enthusiasm. I just didn't buy it. At the end it really touched me though with insightful monologues by Beale and Jensen. Sadly however, it ends with yet another example of exorbitance. It's a nice movie with an interesting, authentic theme, but some stuff just doesn't work for me."
World on a Wire,1973,Rainer Werner Fassbinder,5.0,2019-01-24,"A visually stunning sci-fi film with the philosophical richness a la Solyaris, an existential crisis that I felt in Naked Lunch and somewhat poetic and exaggeratedly beautiful, classy women that reminds of Godard. It has all that and more: a cat and mouse game with the creator, a mysterious atmosphere that challenges the mind, and Plato put to practice. This film is of the highest possible level, a masterpiece."
Pretty Bird,2008,Paul Schneider,2.0,2015-01-13,"Despite its exaggerated nature, I really enjoyed this film. As usual Paul Giamatti performs wonderfully, and the other actors are reasonably enjoyable as well. The soundtrack is amazing and really sets an authentic mood for the film. The comedy is very good at times, and I must say I also enjoyed the story. I don't see why this film seems so unliked, because I really like it."
Metropolis,2001,Rintaro,2.0,2015-01-13,"When I started watching this movie, I immediately had a love/hate relationship with the animation style. I love the way the city of Metropolis is depicted, but tenaciously resent how some people look, notably the politicians and the private detective. Furthermore, the (kind of) love story between Tima and Kenichi is very touching, although it is yet another Japanese human/android love. I definitely enjoyed this film!"
Soylent Green,1973,Richard Fleischer,3.0,2013-11-14,"I enjoyed much of the ideas and the fictional future society. Also, as the movie progressed I grew more and more fond of Thorn's hands-on mentality. At times the acting wasn't so great, especially during the action scenes, of which a lot were redundant to begin with. This movie is enjoyable and certainly has its qualities, but I can't say I think it's an essential."
Pickpocket,1959,Robert Bresson,3.0,2015-01-13,"Every detail fits in this film, and lots of its quality is not found at the surface but requires you to go deeper. This film taught me that I may not necessarily dislike Bresson after all, but that his films are inaccessible and emotionally pale for you to fill in the gaps. The protagonist is acted really well and it's a very interesting persona. Beautiful movie."
Pierrot le Fou,1965,Jean-Luc Godard,5.0,2024-12-30,"My love and hate relationship with French, poetic films is always put to the test when watching Godard's films. Some of 'em I love, others I despise. This film, I loved. It hasn't completely turned abstract and poetic to the extent of getting tired of it,  but actually has a very nice balance between concrete plot and poetic absurdism. It was also so stylishly shot! Definitely one of my favorites by Godard."
Golem,1979,Piotr Szulkin,1.0,2013-11-12,"Intrigued by the story I was eager to watch this movie, but it was an utter disappointment. I was annoyed by the cheapish yellow overglow on the camera and the over-extensive use of shadows. Also, the movie is very vague from start to end and really should have paid more less attention to the everyday life of Mr. Pernat and more to the experiment he is subject to. Shamefully I'd say this movie isn't worth a watch."
2046,2004,Wong Kar Wai,3.0,2013-11-11,"Wong Kar Wai once again shows off his ability to create stunning images supported by moving music. The sci-fi part in the film seems a bit redundant, but it's still nicely done. The subject of unanswered love and difficulty to commit is an interesting choice. Still, something about the whole just wasn't as special as I hoped it to be, as if the film aimed for more than it could bear. It is a good movie nevertheless."
The Usual Suspects,1995,Bryan Singer,2.0,2013-11-11,"The film is well produced, including a nice soundtrack and decent photography, but it is highly overrated. It plays cheaps tricks on the mind with no originality at all, neither do I experience it as interestingly complex. The Keyser Söze myth is okay, too bad it spins out of control together with the rest of the movie at the end. This is most certainly not a masterpiece, it's an enjoyable cliche."
The Bugs Bunny/Road-Runner Movie,1979,"Chuck Jones,Phil Monroe,Maurice Noble,Tom Ray",2.0,2013-11-10,
Holy Motors,2012,Leos Carax,1.0,2021-10-10,Stylistically decent and surreal in an often humorous way the film is not a complete waste of time. On the downside though it seems the film contains a setup and idea that I cannot grasp while I'm given the idea that there is supposed to be made sense of some stuff. The film has failed to satisfy my viewing experience on the whole because of that. It's simply too vague while pretending not to be.
Black Sunday,1960,Mario Bava,4.0,2013-11-10,
When the Wind Blows,1986,Jimmy T. Murakami,4.0,2013-11-15,"I enjoyed the authentic, sort of 'two-faced' style in this film, combining real footage with animation. The theme is unique and original, and once the movie gets going it really touched me. I did have some annoyances with some of the over the top 'staying in character' acting of the two protagonists, but at the same time it defined contrast with the situation which makes the movie work. A job very well done."
Metropolis,1927,Fritz Lang,5.0,2019-01-24,"I love how this movie is abstract in how it displays processes - like how the machines are controlled - and doesn't explain much, if anything, about the futuristic setting portayed. It shows a creative sci-fi setting, but integrates it with a classic story of Christian principles. Also, I love the idea of the heart being the mediator between mind and hands, and how it's represented by the revolution by the workers."
Death in Venice,1971,Luchino Visconti,4.0,2013-11-05,"The desperate search for abstract beauty in real life, which can only lead to failure and disappointment. An instance of this search is shown in this movie, using - respectfully - the controversial choice of the love of a middle aged man for a minor aged boy, without it being sexual of course. Also I would like to mention the incredible end scene of this film, which will be imprinted in my mind for some time."
Toy Story 2,1999,"Ash Brannon,John Lasseter,Lee Unkrich",2.0,2015-01-14,
Ik zal u redden,1945,Alfred Hitchcock,3.0,2013-11-05,
Vanilla Sky,2001,Cameron Crowe,3.0,2015-01-13,
Girl with a Pearl Earring,2003,Peter Webber,1.0,2013-11-05,
Millennium Actress,2001,Satoshi Kon,5.0,2013-11-05,
The Girl Who Leapt Through Time,2006,Mamoru Hosoda,4.0,2013-11-05,
Solaris,2002,Steven Soderbergh,4.0,2013-11-05,
The Iron Giant,1999,Brad Bird,2.0,2015-01-13,
Big Fish,2003,Tim Burton,2.0,2013-11-05,
A Beautiful Mind,2001,Ron Howard,1.0,2013-11-05,
"Lock, Stock and Two Smoking Barrels",1998,Guy Ritchie,3.0,2013-11-05,
Snatch.,2000,Guy Ritchie,3.0,2013-11-05,
The NeverEnding Story,1984,Wolfgang Petersen,3.0,2013-11-05,
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Gore Verbinski,1.0,2013-11-05,
Gladiator,2000,Ridley Scott,2.0,2013-11-05,
The Green Mile,1999,Frank Darabont,1.0,2013-11-05,
Forrest Gump,1994,Robert Zemeckis,2.0,2013-11-05,
West of Pluto,2008,"Myriam Verreault,Henry Bernadet",4.0,2013-11-05,
FILM IST. a girl & a gun,2009,Gustav Deutsch,2.0,2013-11-05,
The Garbage Man,2009,Hart D. Fisher,1.0,2013-11-05,
Cannot Live Without You,2009,Leon Dai,3.0,2013-11-05,
Tale 52,2008,Alexis Alexiou,2.0,2013-11-05,
"South Park: Bigger, Longer & Uncut",1999,Trey Parker,3.0,2013-11-05,
Ali G Indahouse,2002,Mark Mylod,2.0,2013-11-05,
The Mosquito Coast,1986,Peter Weir,2.0,2015-01-13,
Wallace & Gromit: The Curse of the Were-Rabbit,2005,"Steve Box,Nick Park",2.0,2013-11-05,
The Sea Inside,2004,Alejandro Amenábar,3.0,2013-11-05,
Freddy Got Fingered,2001,Tom Green,2.0,2013-11-05,
Clerks II,2006,Kevin Smith,1.0,2013-11-05,
Phone Booth,2002,Joel Schumacher,1.0,2013-11-05,
"Me, Myself & Irene",2000,"Peter Farrelly,Bobby Farrelly",1.0,2013-11-05,
Slap Shot,1977,George Roy Hill,3.0,2014-01-20,
Re-Animator,1985,Stuart Gordon,3.0,2013-11-05,
Bad Santa,2003,Terry Zwigoff,3.0,2013-11-05,
Dead Alive,1992,Peter Jackson,4.0,2013-11-05,
W.,2008,Oliver Stone,2.0,2013-11-04,
Clerks,1994,Kevin Smith,3.0,2013-11-04,
Cannibal Holocaust,1980,Ruggero Deodato,2.0,2015-01-13,
Jay and Silent Bob Strike Back,2001,Kevin Smith,2.0,2013-11-04,
Borat,2006,Larry Charles,2.0,2013-11-04,
The Simpsons Movie,2007,David Silverman,3.0,2013-11-04,
The Warriors,1979,Walter Hill,4.0,2013-11-04,
Team America: World Police,2004,Trey Parker,1.0,2013-11-04,
Insomnia,2002,Christopher Nolan,3.0,2013-11-04,
Harold & Kumar Go to White Castle,2004,Danny Leiner,1.0,2013-11-04,
The Matrix Revolutions,2003,"Lilly Wachowski,Lana Wachowski",1.0,2013-11-04,
The Matrix Reloaded,2003,"Lilly Wachowski,Lana Wachowski",1.0,2013-11-04,
Wayne's World,1992,Penelope Spheeris,1.0,2013-11-04,
My Sister's Keeper,2009,Nick Cassavetes,2.0,2013-11-04,
The Hitchhiker's Guide to the Galaxy,2005,Garth Jennings,1.0,2013-11-04,
Garden State,2004,Zach Braff,3.0,2013-11-04,
Airplane!,1980,"Jim Abrahams,David Zucker,Jerry Zucker",3.0,2013-11-04,
Dreams That Money Can Buy,1947,Hans Richter,3.0,2015-01-13,
Happy Gilmore,1996,Dennis Dugan,2.0,2015-01-13,
The Princess and the Frog ,2009,"John Musker,Ron Clements",2.0,2013-11-04,
Monster,2003,Patty Jenkins,1.0,2013-11-04,
Cloverfield,2008,Matt Reeves,2.0,2015-01-13,
The Banishment,2007,Andrey Zvyagintsev,3.0,2013-11-04,
Life Is Beautiful,1997,Roberto Benigni,2.0,2015-01-13,
School of Rock,2003,Richard Linklater,1.0,2013-11-04,
Cast Away,2000,Robert Zemeckis,2.0,2013-11-04,
Jackass: The Movie,2002,Jeff Tremaine,2.0,2013-11-04,
Zoolander,2001,Ben Stiller,3.0,2016-10-04,"I've seen this one at least once before, and it remains a superb comedy. Ben Stiller and Owen Wilson play awesome roles that are very compatible with the type of funny guys they are. Oh and the gas tank scene, man that's funny. I would watch this movie all over again for that scene alone!"
Dumb & Dumber,1994,"Peter Farrelly,Bobby Farrelly",2.0,2013-11-04,
Minority Report,2002,Steven Spielberg,3.0,2013-11-04,
Napoleon Dynamite,2004,Jared Hess,4.0,2013-11-04,
Office Space,1999,Mike Judge,4.0,2013-11-04,
Scary Movie,2000,Keenen Ivory Wayans,1.0,2025-12-03,"I have laughed at parts, and the nostalghia is appreciated, but the film is really just pretty bad."
The Boondock Saints,1999,Troy Duffy,2.0,2015-01-13,
Seven Psychopaths,2012,Martin McDonagh,1.0,2013-11-04,
Star Wars: Episode III - Revenge of the Sith,2005,George Lucas,2.0,2013-11-04,
Star Wars: Episode II - Attack of the Clones,2002,George Lucas,1.0,2013-11-04,
Star Wars: Episode I - The Phantom Menace,1999,George Lucas,3.0,2013-11-04,
Dark Shadows,2012,Tim Burton,1.0,2013-11-04,
Alice in Wonderland,2010,Tim Burton,2.0,2013-11-04,
"Vuil, lelijk en gemeen",1976,Ettore Scola,3.0,2015-01-13,
Japón,2002,Carlos Reygadas,4.0,2013-11-04,
The Atrocity Exhibition,2000,Jonathan Weiss,2.0,2015-01-14,
Silent Light,2007,Carlos Reygadas,3.0,2013-11-04,
Ex Drummer,2007,Koen Mortier,1.0,2013-11-04,
Flatland,2007,Ladd Ehlinger Jr.,3.0,2013-11-04,
Wings of Desire,1987,Wim Wenders,3.0,2013-11-04,
C'est arrivé près de chez vous,1992,"Rémy Belvaux,André Bonzel,Benoît Poelvoorde",4.0,2013-11-04,
The Car,1977,Elliot Silverstein,2.0,2013-11-04,
Be Kind Rewind,2008,Michel Gondry,2.0,2013-11-04,
Rampage,2009,Uwe Boll,2.0,2013-11-04,
Repo Man,1984,Alex Cox,4.0,2013-11-04,
Shaolin Soccer,2001,Stephen Chow,2.0,2015-01-14,
Everything Is Illuminated,2005,Liev Schreiber,2.0,2013-11-04,
Tsotsi,2005,Gavin Hood,1.0,2013-11-04,
Joshua,2007,George Ratliff,1.0,2013-11-04,
Kung Pow! Enter the Fist,2002,Steve Oedekerk,2.0,2015-01-14,
Festen,1998,Thomas Vinterberg,4.0,2013-11-04,
The Hills Have Eyes,1977,Wes Craven,3.0,2013-11-04,
The Lion King,1994,"Roger Allers,Rob Minkoff",1.0,2013-11-04,
Mum & Dad,2008,Steven Sheil,2.0,2013-11-04,
Zombies,1979,Lucio Fulci,3.0,2013-11-04,
Demon Seed,1977,Donald Cammell,1.0,2013-11-04,
Nine Queens,2000,Fabián Bielinsky,3.0,2013-11-04,
TerrorVision,1986,Ted Nicolaou,3.0,2013-11-04,
Bananas,1971,Woody Allen,2.0,2015-01-14,
Taxidermia,2006,György Pálfi,4.0,2013-11-04,
Jin-Roh: The Wolf Brigade,1999,Hiroyuki Okiura,2.0,2013-11-04,
Breathless,2008,Ik-Joon Yang,1.0,2013-11-04,
Quiet Chaos,2008,Antonello Grimaldi,2.0,2015-01-14,
Klatergoud,1952,Vincente Minnelli,3.0,2015-01-14,
Survive Style 5+,2004,Gen Sekiguchi,3.0,2013-11-04,
The Northerners,1992,Alex van Warmerdam,3.0,2013-11-04,
Un conte de Noël,2008,Arnaud Desplechin,1.0,2013-11-04,
Ray,2004,Taylor Hackford,3.0,2013-11-04,
13,2010,Géla Babluani,2.0,2013-11-04,
The Shawshank Redemption,1994,Frank Darabont,3.0,2013-11-04,
The Color Purple,1985,Steven Spielberg,2.0,2013-11-04,
Harry Potter en de steen der wijzen,2001,Chris Columbus,2.0,2013-11-04,
Pin,1988,Sandor Stern,3.0,2013-11-04,
Twin Sisters,2002,Ben Sombogaart,2.0,2015-01-14,
Street Fighter II: The Animated Movie,1994,Gisaburō Sugii,3.0,2013-11-04,
Risky Business,1983,Paul Brickman,3.0,2013-11-04,
Pixels,2010,Patrick Jean,3.0,2013-11-04,
The External World,2010,David O'Reilly,4.0,2013-11-04,
Oh Willy...,2012,"Emma De Swaef,Marc James Roels",3.0,2013-11-04,
Les mistons,1957,François Truffaut,4.0,2013-11-04,
Two Men and a Wardrobe,1958,Roman Polanski,1.0,2013-11-04,
Neighbours,1952,Norman McLaren,3.0,2013-11-04,
Samsara,2011,Ron Fricke,3.0,2013-11-04,
Rubber,2010,Quentin Dupieux,1.0,2013-11-04,
It's Such a Beautiful Day,2011,Don Hertzfeldt,3.0,2015-01-14,
Good Bye Lenin!,2003,Wolfgang Becker,2.0,2013-11-04,
The Hunger Games,2012,Gary Ross,2.0,2013-11-04,
City Girl,1930,F.W. Murnau,4.0,2013-11-04,
Old Joy,2006,Kelly Reichardt,2.0,2015-01-14,
Idiocracy,2006,Mike Judge,2.0,2013-11-04,
The Suicide Shop,2012,Patrice Leconte,1.0,2013-11-04,
Show Me Love,1998,Lukas Moodysson,3.0,2013-11-04,
Import/Export,2007,Ulrich Seidl,3.0,2013-11-04,
Tokyo Godfathers,2003,Satoshi Kon,2.0,2013-11-04,
Spider-Man,2002,Sam Raimi,2.0,2013-11-04,
Out of Time,2003,Carl Franklin,2.0,2013-11-04,
Austin Powers: International Man of Mystery,1997,Jay Roach,2.0,2013-11-04,
Austin Powers in Goldmember,2002,Jay Roach,1.0,2013-11-04,
Austin Powers: The Spy Who Shagged Me,1999,Jay Roach,2.0,2013-11-04,
The Quiet Earth,1985,Geoff Murphy,3.0,2013-11-04,
Logan's Run,1976,Michael Anderson,3.0,2013-11-04,"This film explores interesting ideas and I appreciate the low budget, creative setting. However, a lot of cliches are holding it back. And how comes the ending is not only quite superficial, but also incredibly speeded up? Still, the film has an authentic feel to it and was fun to watch."
Jabberwocky,1977,Terry Gilliam,2.0,2015-01-14,
Made in U.S.A,1966,Jean-Luc Godard,4.0,2013-11-04,
Gandahar,1987,René Laloux,4.0,2013-11-04,
The Jungle Book,1967,Wolfgang Reitherman,3.0,2013-11-04,
De man die teveel wist,1956,Alfred Hitchcock,2.0,2013-11-04,
The Constant Gardener,2005,Fernando Meirelles,2.0,2015-01-14,
The Room,2003,Tommy Wiseau,3.0,2013-11-04,
The Little Mermaid,1989,"John Musker,Ron Clements",3.0,2013-11-04,
THX 1138,1971,George Lucas,2.0,2015-01-14,
Chasing Amy,1997,Kevin Smith,3.0,2015-01-14,
Drag Me to Hell,2009,Sam Raimi,2.0,2013-11-04,
White Heat,1949,Raoul Walsh,2.0,2013-11-04,
Primer,2004,Shane Carruth,3.0,2013-11-04,
The Machinist,2004,Brad Anderson,2.0,2015-01-14,
The Hangover,2009,Todd Phillips,3.0,2013-11-04,
Road to Perdition,2002,Sam Mendes,2.0,2013-11-13,
Perfect Blue,1997,Satoshi Kon,3.0,2013-11-04,
The Perks of Being a Wallflower,2012,Stephen Chbosky,3.0,2013-11-04,
Somewhere,2010,Sofia Coppola,2.0,2013-11-04,
Happy-Go-Lucky,2008,Mike Leigh,2.0,2013-11-04,
Tetsuo: The Iron Man,1989,Shin'ya Tsukamoto,4.0,2013-11-04,
Bowling for Columbine,2002,Michael Moore,2.0,2015-01-14,
Valerie and Her Week of Wonders,1970,Jaromil Jireš,4.0,2013-11-04,
