Title,Year,Directors,Rating,WatchedDate,Review
Vinni-Pukh and a Busy Day,1972,"Fyodor Khitruk,Gennadiy Sokolskiy",4.0,2022-02-20,"Clever, and this time with a nice rendition of Eeyore the donkey. Also, I can't get enough of these beautiful drawings."
Vinni-Pukh Goes Visiting,1971,Fyodor Khitruk,4.0,2022-03-10,"The humor in this one really takes off. Very funny stuff, timeless!"
Vinni-Pukh,1969,Fyodor Khitruk,3.0,2022-02-20,"The drawings are beautiful, and the characters fun. The ""simple philosopher"" character of Vinni Pukh, the dry humor: lovely!"
The Fly,1986,David Cronenberg,4.0,2022-02-18,"The evolving gore alone is worth the watch, but man this film has a lot more to offer. The sci-fi idea is so simple, yet who on Earth isn't captivated by this thought experiment? The attention for angst and psychological suffering really takes this film to a deeper level. And seriously, sometimes the line between absurd comedy and genuine moral horror was very thin. Great film."
Troll 2,1990,Claudio Fragasso,1.0,2022-02-18,"Sometimes I can enjoy a bad film that's just really, really bad. But if it's just bad enough, realy too bad, you're gonna have a bad time. Didn't watch beyond the first half hour. Completely unenjoyable."
The Big Short,2015,Adam McKay,4.0,2022-02-14,"This film was a nice surprise. I feared a Hollywood cliche with good information in it, but actually found a good film allround. Kudos to Steve Carell in particular: I didn't know he had this in him."
The Long Goodbye,1973,Robert Altman,4.0,2022-02-14,"The Long Goodbye

It takes Altman to understand a genre and abuse it friendly. I just love how this film entertains you by laughing at itself, it's just so fresh. Gould plays his part perfectly and as always there's this subtle layer of surreal goofiness that I can somehow stand only when Altman does it. Fantastic film that keeps you interested in many ways during every second of it."
The Exterminating Angel,1962,Luis Buñuel,4.0,2022-02-13,
Before Midnight,2013,Richard Linklater,3.0,2022-02-13,"A fitting part in the trilogy, although a bit of a let down. The emphasis on sexuality and gender often felt annoying and unnecessary, and I felt very aware of the fourth wall from time to time. I do wonder if the annoyance I felt was intentional, as a realistic display of what life turns us into when we get older, but still, I'm left with an impression of sloppiness at least. Still it's a nice finale of the trilogy."
Frankenstein,1931,James Whale,4.0,2022-02-10,"This was surprisingly good. There was some real attention for lots of cinematographic detail, some shots were simply stunning. The creation scene was incredible, and I admire the enthralling story arch which peaked in the mob going after ""the monster"". Finally there's a moral lesson to appreciate: there's no such thing as a criminal brain."
Frankenstein,1910,J. Searle Dawley,2.0,2022-02-10,"Interesting from a historical perspective to say the least, this short film is certainly something special. It's hard for it to fully captivate me being so dated and technologically limited, but the scene where Frankenstein comes to life from the fire definitely stood out for me. Altogether I respect it, but it's hard to get too excited about."
"Crack: Cocaine, Corruption & Conspiracy",2021,Stanley Nelson,3.0,2022-02-08,"Not being from the US myself, even though I'm superficially familiar with this bit of history, the specifics to do with how government ""combatted"" these issues resembled the depiction in the series ""The Wire"" to a scary degree. Very important information that should convince every last skeptic when it comes to racial injustice in the US."
Riders of Justice,2020,Anders Thomas Jensen,2.0,2022-01-12,"This film had qualities, but failed to calibrate the whole nicely. It's too explicit and agressive for young children, but too childish for an adult audience at the same time. The nerd characterization was fun at times, but also over the top. On top of it all it was super unrealistic, to the extent where it got annoying. I can enjoy a dark revenge film, but this one was mostly disappointing."
Blade Runner 2049,2017,Denis Villeneuve,3.0,2021-12-29,"This film took me by surprise. Such an incredible style! A clean sort of cyberpunk, darkness with bright colors on top, and accompanying drone music and Vangelis-like synths respectively. I am fairly disappointed with the cliche acting, characters and plot though. In the hand of a less mainstream director this could have been much better. Still, it's lovely to immerse yourself in this world."
What We Did on Our Holiday,2014,"Andy Hamilton,Guy Jenkin",2.0,2021-11-17,"This is a great film for children perhaps, but it took me a while to realize that I could try to watch it that way. Grandpa and the children on the beach has something special, and the message the film conveys is a good one to learn early on: death is part of life, and adults can maybe actually learn something from the innocence of children there. That being said, I can't rate it higher due to the cliche feel."
The Rocky Horror Picture Show,1975,Jim Sharman,3.0,2021-10-05,"I'm not a fan of musicals, but this film's authenticity escapes boundaries like those. Great decors, a unique mix of playful eroticism, sci-fi classics name dropping and, most importantly to me, a strong message championing non-heterosexuals. Despite the qualities, I did struggle to get through some of the songs and humor though."
Midnight Express,1978,Alan Parker,2.0,2021-07-16,"Entertaining at best. The acting isn't very good, and much of the story feels rushed and unncessary. The biographical accuracy is poor, and the depiction of the Turkish people is controversial. Oliver Stone actually apologized for this ""tampering with the truth"". I like the adventurous feel the film has though, and it lends for some interesting moral discussions about prisons, victimhood and justice."
Druk,2020,Thomas Vinterberg,4.0,2025-12-08,"An ode to this ancient potion of life, but no less a warning against its unwieldy powers. How it seduces us to comfortably remain within its magical enhancement of reality, only to betray us, immersing us in solitary darkness and deconstructed, fragmented reality, and ultimately return us to our now increasingly dreadful, sober reality. That being said though: it's lovely to drink every now and then, right?"
Shadows,1959,John Cassavetes,4.0,2025-06-28,"This film just breaths jazz in every possible way. It is so refreshing and odd, for its time especially. I love how aimless it seems, by which it brings interesting issues of the time -such as feminism and racism- to the viewer in a very natural way, i.e. through improvised acting rather than heavy scripting. This is a rare form of acting to see, but it's lovely, and very goofy and funny as well. I had a great time!"
Gisaengchung,2019,Bong Joon Ho,3.0,2020-08-16,"At first I enjoyed the absurdity and clever script, with its many extremities which work thanks to the odd style. Dark, psychological humor which peaks in the ""drinking in the living room"" scene. But then, the basement happens, and a lot of cheap choices are made. Cringy humor, an incoherent twist to the horror genre, lack of aim (randomness) and even more unlikely events occur. It's a nice film, but with its faults."
La Haine,1995,Mathieu Kassovitz,4.0,2020-10-17,
The Fog,1980,John Carpenter,2.0,2023-11-01,"Aesthetically, there's much to praise in this film. Beautifully shot, great use of lighting and bright colors (which seems to be inspired by Giallo), and a cool and very functional soundtrack written by Carpenter himself. However, the story feels really shaky and uninteresting, and something you never really get to care about much. The pacing seems odd as well, and the acting is subpar. Not very good, but enjoyable."
All the President's Men,1976,Alan J. Pakula,4.0,2021-12-30,"An entertaining and exciting view into the Watergate scandal, starring a lovable team of Redford and Hoffman. It's all about the suspense and unraveling of the mystery in this film, which is carried by substance, not cheap tricks. It's the details that make a slow paced film like this successful, such as the banter at the office and quality of character of the two protagonists. Very good film."
The Red Turtle,2016,Michael Dudok de Wit,4.0,2025-02-23,"Tranquil, simple, breathtakingly beautiful, but slightly boring. It doesn't entirely succeed in immersing the viewer in the mystery, which has tainted the experience a little. Nonetheless, the story has an appeal, and the esthetics are simply amazing, ultimately making this a good film."
Shaun the Sheep Movie,2015,"Richard Starzak,Mark Burton",4.0,2020-05-27,"It's hard to make an animated film stand out for me. They tend to be amusing and nice, but rarely completely horrible or amazing. Shaun the Sheep is definitely a bit more special than that. Besides loving Aardman's animation style, I'm usually put off a bit by the infantile, formulaic storyline. This film, however, stands out because of its incredible details, both in animation as in script. Really nice film!"
Fanny and Alexander (Television Version),1983,Ingmar Bergman,5.0,2021-06-05,"This is a great work of art. Bergman manages to utilize many of his signature traits, including the touch of the surreal, intense grieving and psychological drama, and make that work even in such a long film. The long duration benefits immersion greatly and allows for a very good exploration of the psyches of all people involved. Besides being authentically dramatical, it contains great comical scenes as well."
Kitchen Stories,2003,Bent Hamer,3.0,2022-11-06,This is a neat little film. It wraps an interesting experiment in an accessible and warm style suitable for a large audience.
Blame!,2017,Hiroyuki Seshita,2.0,2020-03-28,"I did not like much about this film. I struggle to accept many of the anime cliches, and wasn't immersed into the story as much as I would have liked. I mean, the idea is pretty cool. Anyways, the style and technical aspects are all very nice, which made it enjoyable to watch ultimately."
What Did Jack Do?,2017,David Lynch,3.0,2020-03-28,"Great concept and succesfully done. The reference to the genre cliches are clear, and the overall atmosphere works well. Jack's voice is subtly well chosen, as are the things he says. A good balance between absurdity, dark comedy and realism: this is a welcome addition to Lynch's work."
